geo,year,population
AD,2013,76246
AD,2016,71732
AD,2018,74794
AD,2019,76177
AD,2020,77543
AD,2022,79535
AD,2023,81588
AD,2024,85101
AL,2013,2897770
AL,2014,2892394
AL,2015,2885796
AL,2016,2875592
AL,2017,2876591
AL,2018,2870324
AL,2019,2862427
AL,2020,2845955
AL,2021,2829741
AL,2022,2793592
AL,2023,2761785
AM,2013,3026878
AM,2014,3017079
AM,2015,3010598
AM,2016,2998577
AM,2017,2986151
AM,2018,2972732
AM,2019,2965269
AM,2020,2959694
AM,2021,2963251
AM,2023,2977130
AM,2024,2991201
AT,2013,8451860
AT,2014,8507786
AT,2015,8584926
AT,2016,8700471
AT,2017,8772865
AT,2018,8822267
AT,2019,8858775
AT,2020,8901064
AT,2021,8932664
AT,2022,8978929
AT,2023,9104772
AT,2024,9158750
AZ,2013,9356483
AZ,2014,9477119
AZ,2015,9593038
AZ,2016,9705643
AZ,2017,9809981
AZ,2018,9898085
AZ,2019,9981457
AZ,2020,10067108
AZ,2021,10119133
AZ,2022,10156366
AZ,2023,10127145
AZ,2024,10180770
BA,2013,3835645
BA,2014,3830911
BA,2015,3825334
BA,2016,3515982
BA,2017,3509728
BA,2018,3500295
BA,2019,3492018
BA,2022,3464384
BA,2023,3441194
BA,2024,3417089
BE,2013,11137974
BE,2014,11180840
BE,2015,11237274
BE,2016,11311117
BE,2017,11351727
BE,2018,11398589
BE,2019,11455519
BE,2020,11522440
BE,2021,11554767
BE,2022,11617623
BE,2023,11742796
BE,2024,11817096
BG,2013,7202556
BG,2014,7117453
BG,2015,7029690
BG,2016,6938759
BG,2017,6849518
BG,2018,6757418
BG,2019,6664177
BG,2020,6569275
BG,2021,6532117
BG,2022,6482484
BG,2023,6447710
BG,2024,6445481
BY,2013,9463840
BY,2014,9468154
BY,2015,9480868
BY,2016,9498364
BY,2017,9504704
BY,2018,9491823
BY,2019,9475174
BY,2020,9408350
CH,2013,8039060
CH,2014,8139631
CH,2015,8237666
CH,2016,8327126
CH,2017,8419550
CH,2018,8484130
CH,2019,8544527
CH,2020,8606033
CH,2021,8670300
CH,2022,8738791
CH,2023,8815385
CH,2024,8962258
CY,2013,865878
CY,2014,860032
CY,2015,860846
CY,2016,863764
CY,2017,869878
CY,2018,878601
CY,2019,890194
CY,2020,902429
CY,2021,914476
CY,2022,929764
CY,2023,949084
CY,2024,966365
CZ,2013,10516125
CZ,2014,10512419
CZ,2015,10538275
CZ,2016,10553843
CZ,2017,10578820
CZ,2018,10610055
CZ,2019,10649800
CZ,2020,10693939
CZ,2021,10494836
CZ,2022,10516707
CZ,2023,10827529
CZ,2024,10900555
DE,2013,80523746
DE,2014,80767463
DE,2015,81197537
DE,2016,82175684
DE,2017,82521653
DE,2018,82792351
DE,2019,83019213
DE,2020,83166711
DE,2021,83155031
DE,2022,83237124
DE,2023,83118501
DE,2024,83456045
DK,2013,5602628
DK,2014,5627235
DK,2015,5659715
DK,2016,5707251
DK,2017,5748769
DK,2018,5781190
DK,2019,5806081
DK,2020,5822763
DK,2021,5840045
DK,2022,5873420
DK,2023,5932654
DK,2024,5961249
EA19,2013,336640095
EA19,2014,337331059
EA19,2015,338062958
EA19,2016,339298392
EA19,2017,340047730
EA19,2018,340779942
EA19,2019,341729168
EA19,2020,342692171
EA19,2021,342806743
EA19,2022,343242163
EA19,2023,344706979
EA19,2024,346312052
EA20,2013,340887898
EA20,2014,341548691
EA20,2015,342243873
EA20,2016,343429507
EA20,2017,344126499
EA20,2018,344794283
EA20,2019,345697844
EA20,2020,346625682
EA20,2021,346699769
EA20,2022,347104468
EA20,2023,348557873
EA20,2024,350174019
EE,2013,1320174
EE,2014,1315819
EE,2015,1314870
EE,2016,1315944
EE,2017,1315635
EE,2018,1319133
EE,2019,1324820
EE,2020,1328976
EE,2021,1330068
EE,2022,1331796
EE,2023,1365884
EE,2024,1374687
EL,2013,11003615
EL,2014,10926807
EL,2015,10858018
EL,2016,10783748
EL,2017,10768193
EL,2018,10741165
EL,2019,10724599
EL,2020,10718565
EL,2021,10678632
EL,2022,10459782
EL,2023,10413982
EL,2024,10400720
ES,2013,46712650
ES,2014,46495744
ES,2015,46425722
ES,2016,46418884
ES,2017,46497393
ES,2018,46645070
ES,2019,46918951
ES,2020,47318050
ES,2021,47400798
ES,2022,47486843
ES,2023,48085361
ES,2024,48619695
EU27_2020,2013,441742959
EU27_2020,2014,442266046
EU27_2020,2015,442911027
EU27_2020,2016,443987823
EU27_2020,2017,444655529
EU27_2020,2018,445287011
EU27_2020,2019,446135629
EU27_2020,2020,447015600
EU27_2020,2021,445872542
EU27_2020,2022,445972024
EU27_2020,2023,447695350
EU27_2020,2024,449306184
FI,2013,5426674
FI,2014,5451270
FI,2015,5471753
FI,2016,5487308
FI,2017,5503297
FI,2018,5513130
FI,2019,5517919
FI,2020,5525292
FI,2021,5533793
FI,2022,5548241
FI,2023,5563970
FI,2024,5603851
FR,2013,65600350
FR,2014,66165980
FR,2015,66458153
FR,2016,66638391
FR,2017,66809816
FR,2018,67026224
FR,2019,67290471
FR,2020,67473651
FR,2021,67728568
FR,2022,68091703
FR,2023,68277210
FR,2024,68467362
FX,2013,63697865
GE,2014,4490498
GE,2015,3729500
GE,2016,3720400
GE,2017,3718200
GE,2018,3729633
GE,2019,3723464
GE,2020,3716858
GE,2021,3728573
GE,2022,3688647
GE,2023,3736357
GE,2024,3694608
HR,2013,4247803
HR,2014,4217632
HR,2015,4180915
HR,2016,4131115
HR,2017,4078769
HR,2018,4014341
HR,2019,3968676
HR,2020,3933511
HR,2021,3893026
HR,2022,3862305
HR,2023,3850894
HR,2024,3861967
HU,2013,9895250
HU,2014,9850217
