geo,year,population,age,sex
AD,2012,38252.0,TOTAL,F
AD,2013,37408.0,TOTAL,F
AD,2019,37388.0,TOTAL,F
AL,2012,1444234.0,TOTAL,F
AL,2013,1437193.0,TOTAL,F
AL,2014,1430827.0,TOTAL,F
AL,2015,1424597.0,TOTAL,F
AL,2016,1417141.0,TOTAL,F
AL,2017,1423050.0,TOTAL,F
AL,2018,1431715.0,TOTAL,F
AL,2019,1432833.0,TOTAL,F
AL,2020,1425342.0,TOTAL,F
AL,2021,1419759.0,TOTAL,F
AL,2023,1394864.0,TOTAL,F
AM,2012,1684000.0,TOTAL,F
AM,2015,1571450.0,TOTAL,F
AM,2016,1569535.0,TOTAL,F
AM,2017,1567380.0,TOTAL,F
AM,2018,1564533.0,TOTAL,F
AM,2019,1563538.0,TOTAL,F
AM,2020,1562689.0,TOTAL,F
AM,2021,1565144.0,TOTAL,F
AM,2024,1577675.0,TOTAL,F
AT,2012,4309977.0,TOTAL,F
AT,2013,4328238.0,TOTAL,F
AT,2014,4352447.0,TOTAL,F
AT,2015,4384529.0,TOTAL,F
AT,2016,4427918.0,TOTAL,F
AT,2017,4460424.0,TOTAL,F
AT,2018,4483749.0,TOTAL,F
AT,2019,4501742.0,TOTAL,F
AT,2020,4522292.0,TOTAL,F
AT,2021,4535712.0,TOTAL,F
AT,2022,4553444.0,TOTAL,F
AT,2023,4619957.0,TOTAL,F
AT,2024,4643918.0,TOTAL,F
AZ,2012,4651601.0,TOTAL,F
AZ,2013,4707690.0,TOTAL,F
AZ,2014,4763571.0,TOTAL,F
AZ,2015,4817181.0,TOTAL,F
AZ,2016,4870002.0,TOTAL,F
AZ,2017,4918771.0,TOTAL,F
AZ,2018,4960058.0,TOTAL,F
AZ,2019,4999053.0,TOTAL,F
AZ,2020,5039100.0,TOTAL,F
AZ,2021,5065288.0,TOTAL,F
AZ,2022,5081846.0,TOTAL,F
AZ,2023,5087516.0,TOTAL,F
AZ,2024,5113564.0,TOTAL,F
BA,2012,1963655.0,TOTAL,F
BE,2012,5635601.0,TOTAL,F
BE,2013,5665118.0,TOTAL,F
BE,2014,5687048.0,TOTAL,F
BE,2015,5713206.0,TOTAL,F
BE,2016,5741853.0,TOTAL,F
BE,2017,5762455.0,TOTAL,F
BE,2018,5784371.0,TOTAL,F
BE,2019,5810693.0,TOTAL,F
BE,2020,5841215.0,TOTAL,F
BE,2021,5854293.0,TOTAL,F
BE,2022,5883978.0,TOTAL,F
BE,2023,5946649.0,TOTAL,F
BE,2024,5981093.0,TOTAL,F
BG,2012,3760457.0,TOTAL,F
BG,2013,3701945.0,TOTAL,F
BG,2014,3662824.0,TOTAL,F
BG,2015,3621883.0,TOTAL,F
BG,2016,3578998.0,TOTAL,F
BG,2017,3537549.0,TOTAL,F
BG,2018,3494184.0,TOTAL,F
BG,2019,3450251.0,TOTAL,F
BG,2020,3405861.0,TOTAL,F
BG,2021,3389807.0,TOTAL,F
BG,2022,3364303.0,TOTAL,F
BG,2023,3348207.0,TOTAL,F
BG,2024,3347783.0,TOTAL,F
BY,2012,5066857.0,TOTAL,F
BY,2013,5066314.0,TOTAL,F
BY,2014,5066943.0,TOTAL,F
BY,2015,5071671.0,TOTAL,F
BY,2016,5077522.0,TOTAL,F
BY,2017,5078185.0,TOTAL,F
BY,2018,5070289.0,TOTAL,F
BY,2019,5059429.0,TOTAL,F
CH,2012,4032409.0,TOTAL,F
CH,2013,4070536.0,TOTAL,F
CH,2014,4117540.0,TOTAL,F
CH,2015,4163786.0,TOTAL,F
CH,2016,4205655.0,TOTAL,F
CH,2017,4246113.0,TOTAL,F
CH,2018,4277696.0,TOTAL,F
CH,2019,4307406.0,TOTAL,F
CH,2020,4337170.0,TOTAL,F
CH,2021,4367701.0,TOTAL,F
CH,2022,4400588.0,TOTAL,F
CH,2023,4435432.0,TOTAL,F
CH,2024,4510726.0,TOTAL,F
CY,2012,443018.0,TOTAL,F
CY,2013,443058.0,TOTAL,F
CY,2014,441537.0,TOTAL,F
CY,2015,441559.0,TOTAL,F
CY,2016,442623.0,TOTAL,F
CY,2017,445880.0,TOTAL,F
CY,2018,450423.0,TOTAL,F
CY,2019,455583.0,TOTAL,F
CY,2020,459191.0,TOTAL,F
CY,2021,466924.0,TOTAL,F
CY,2022,476513.0,TOTAL,F
CY,2023,483955.0,TOTAL,F
CY,2024,490771.0,TOTAL,F
CZ,2012,5347235.0,TOTAL,F
CZ,2013,5351776.0,TOTAL,F
CZ,2014,5350039.0,TOTAL,F
CZ,2015,5361348.0,TOTAL,F
CZ,2016,5367513.0,TOTAL,F
CZ,2017,5378133.0,TOTAL,F
CZ,2018,5390264.0,TOTAL,F
CZ,2019,5405606.0,TOTAL,F
CZ,2020,5421943.0,TOTAL,F
CZ,2021,5323934.0,TOTAL,F
CZ,2022,5332932.0,TOTAL,F
CZ,2023,5519006.0,TOTAL,F
CZ,2024,5557945.0,TOTAL,F
DE,2012,41097953.0,TOTAL,F
DE,2013,41142770.0,TOTAL,F
DE,2014,41210540.0,TOTAL,F
DE,2015,41362080.0,TOTAL,F
DE,2016,41661561.0,TOTAL,F
DE,2017,41824535.0,TOTAL,F
DE,2018,41948786.0,TOTAL,F
DE,2019,42052522.0,TOTAL,F
DE,2020,42129098.0,TOTAL,F
DE,2021,42128512.0,TOTAL,F
DE,2022,42170339.0,TOTAL,F
DE,2023,42198796.0,TOTAL,F
DE,2024,42294114.0,TOTAL,F
DK,2012,2813740.0,TOTAL,F
DK,2013,2823776.0,TOTAL,F
DK,2014,2834956.0,TOTAL,F
DK,2015,2848701.0,TOTAL,F
DK,2016,2869364.0,TOTAL,F
DK,2017,2888591.0,TOTAL,F
DK,2018,2904717.0,TOTAL,F
DK,2019,2917008.0,TOTAL,F
DK,2020,2925845.0,TOTAL,F
DK,2021,2935188.0,TOTAL,F
DK,2022,2950505.0,TOTAL,F
DK,2023,2983655.0,TOTAL,F
DK,2024,2997558.0,TOTAL,F
EE,2012,707079.0,TOTAL,F
EE,2013,704007.0,TOTAL,F
EE,2014,700900.0,TOTAL,F
EE,2015,700166.0,TOTAL,F
EE,2016,699236.0,TOTAL,F
EE,2017,698097.0,TOTAL,F
EE,2018,698049.0,TOTAL,F
EE,2019,699185.0,TOTAL,F
EE,2020,699699.0,TOTAL,F
EE,2021,699153.0,TOTAL,F
EE,2022,698381.0,TOTAL,F
EE,2023,718518.0,TOTAL,F
EE,2024,723074.0,TOTAL,F
EL,2012,5662522.0,TOTAL,F
EL,2013,5637364.0,TOTAL,F
EL,2014,5613568.0,TOTAL,F
EL,2015,5589628.0,TOTAL,F
EL,2016,5559538.0,TOTAL,F
EL,2017,5546916.0,TOTAL,F
EL,2018,5531125.0,TOTAL,F
EL,2019,5516306.0,TOTAL,F
EL,2020,5503077.0,TOTAL,F
EL,2021,5482584.0,TOTAL,F
EL,2022,5345035.0,TOTAL,F
EL,2023,5320643.0,TOTAL,F
EL,2024,5303827.0,TOTAL,F
ES,2012,23719207.0,TOTAL,F
ES,2013,23699424.0,TOTAL,F
ES,2014,23621034.0,TOTAL,F
ES,2015,23603001.0,TOTAL,F
ES,2016,23612439.0,TOTAL,F
ES,2017,23666286.0,TOTAL,F
ES,2018,23755470.0,TOTAL,F
ES,2019,23902168.0,TOTAL,F
ES,2020,24107382.0,TOTAL,F
ES,2021,24152187.0,TOTAL,F
ES,2022,24198046.0,TOTAL,F
ES,2023,24519768.0,TOTAL,F
ES,2024,24792824.0,TOTAL,F
EU27_2020,2012,226006146.0,TOTAL,F
EU27_2020,2013,226300167.0,TOTAL,F
EU27_2020,2014,226752166.0,TOTAL,F
EU27_2020,2015,227381928.0,TOTAL,F
EU27_2020,2016,227733475.0,TOTAL,F
EU27_2020,2017,228050037.0,TOTAL,F
EU27_2020,2018,228326248.0,TOTAL,F
EU27_2020,2019,228372753.0,TOTAL,F
EU27_2020,2020,228763757.0,TOTAL,F
EU27_2020,2021,228568107.0,TOTAL,F
EU27_2020,2022,227911075.0,TOTAL,F
EU27_2020,2023,228867460.0,TOTAL,F
EU27_2020,2024,229492073.0,TOTAL,F
FI,2012,2748733.0,TOTAL,F
FI,2013,2760052.0,TOTAL,F
FI,2014,2770906.0,TOTAL,F
FI,2015,2779890.0,TOTAL,F
FI,2016,2785818.0,TOTAL,F
FI,2017,2790970.0,TOTAL,F
FI,2018,2793999.0,TOTAL,F
FI,2019,2794629.0,TOTAL,F
FI,2020,2797030.0,TOTAL,F
FI,2021,2799985.0,TOTAL,F
FI,2022,2805140.0,TOTAL,F
FI,2023,2810493.0,TOTAL,F
FI,2024,2829953.0,TOTAL,F
FR,2012,33671600.0,TOTAL,F
FR,2013,33827685.0,TOTAL,F
FR,2014,34120851.0,TOTAL,F
FR,2015,34283895.0,TOTAL,F
FR,2016,34391005.0,TOTAL,F
